21:44:12.428767 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 374068:374224, ack 181, win 501, length 156
21:44:12.428900 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 374224:374380, ack 181, win 501, length 156
21:44:12.429017 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 374380:374536, ack 181, win 501, length 156
21:44:12.429143 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 374536:374692, ack 181, win 501, length 156
21:44:12.429258 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 374692:374848, ack 181, win 501, length 156
21:44:12.429377 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 374848:375004, ack 181, win 501, length 156
21:44:12.429493 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 363772, win 6290, length 0
21:44:12.429577 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 375004:375160, ack 181, win 501, length 156
21:44:12.429691 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 375160:375300, ack 181, win 501, length 140
21:44:12.429800 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 375300:375456, ack 181, win 501, length 156
21:44:12.429874 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 375456:375612, ack 181, win 501, length 156
21:44:12.430000 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 375612:375888, ack 181, win 501, length 276
21:44:12.430132 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 375888:376044, ack 181, win 501, length 156
21:44:12.430247 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 376044:376200, ack 181, win 501, length 156
21:44:12.430375 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 376200:376356, ack 181, win 501, length 156
21:44:12.430496 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 376356:376512, ack 181, win 501, length 156
21:44:12.430610 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 376512:376668, ack 181, win 501, length 156
21:44:12.430731 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 376668:376824, ack 181, win 501, length 156
21:44:12.430845 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 376824:376980, ack 181, win 501, length 156
21:44:12.430959 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 376980:377136, ack 181, win 501, length 156
21:44:12.431141 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 377136:377292, ack 181, win 501, length 156
21:44:12.431291 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 377292:377448, ack 181, win 501, length 156
21:44:12.431416 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 377448:377604, ack 181, win 501, length 156
21:44:12.431546 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 377604:377760, ack 181, win 501, length 156
21:44:12.431666 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 377760:377916, ack 181, win 501, length 156
21:44:12.431789 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 377916:378072, ack 181, win 501, length 156
21:44:12.431950 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 378072:378228, ack 181, win 501, length 156
21:44:12.432102 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 378228:378384, ack 181, win 501, length 156
21:44:12.432245 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 365072, win 6295, length 0
21:44:12.432366 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 378384:378644, ack 181, win 501, length 260
21:44:12.432491 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 378644:378800, ack 181, win 501, length 156
21:44:12.432644 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 378800:378956, ack 181, win 501, length 156
